[FIPS CODE ,  SHORT NAME ,  FULL NAME ,  STATE ,  LATATUDE ,  LONGITUDE ,  POPULATION (2020) ,  AREA (SQ MI)]
[25007, Dukes, Dukes County, MA, 41.3961, -70.65, 20933, 103.25]
[13199, Meriwether, Meriwether County, GA, 33.0406, -84.6883, 20929, 501.22]
[19105, Jones, Jones County, IA, 42.1212, -91.1315, 20896, 575.62]
[8075, Logan, Logan County, CO, 40.7247, -103.1101, 20892, 1838.55]
[26129, Ogemaw, Ogemaw County, MI, 44.335, -84.1264, 20885, 563.49]
[21027, Breckinridge, Breckinridge County, KY, 37.7734, -86.4293, 20881, 567.17]
[22111, Union, Union Parish, LA, 32.8318, -92.3748, 20821, 876.99]
[21133, Letcher, Letcher County, KY, 37.1212, -82.8553, 20808, 337.91]
[53001, Adams, Adams County, WA, 46.9834, -118.5606, 20800, 1924.98]
[18153, Sullivan, Sullivan County, IN, 39.0889, -87.4147, 20780, 447.14]
[29147, Nodaway, Nodaway County, MO, 40.3607, -94.8834, 20774, 876.96]
[40139, Texas, Texas County, OK, 36.7479, -101.4901, 20774, 2041.26]
[19021, Buena Vista, Buena Vista County, IA, 42.7355, -95.1511, 20753, 574.92]
[17173, Shelby, Shelby County, IL, 39.3911, -88.8055, 20720, 758.52]
[19019, Buchanan, Buchanan County, IA, 42.4708, -91.8379, 20694, 571.02]
[55061, Kewaunee, Kewaunee County, WI, 44.5161, -87.6153, 20664, 342.52]
[56041, Uinta, Uinta County, WY, 41.2876, -110.5476, 20644, 2081.26]
[17145, Perry, Perry County, IL, 38.0837, -89.367, 20639, 441.76]
[54109, Wyoming, Wyoming County, WV, 37.6096, -81.5492, 20629, 499.45]
[16045, Gem, Gem County, ID, 44.0615, -116.3975, 20614, 560.9]
[19027, Carroll, Carroll County, IA, 42.0362, -94.8605, 20594, 569.44]
[48285, Lavaca, Lavaca County, TX, 29.3843, -96.9302, 20552, 969.71]
[45039, Fairfield, Fairfield County, SC, 34.3951, -81.1212, 20550, 686.28]
[28027, Coahoma, Coahoma County, MS, 34.23, -90.6018, 20540, 552.44]
[18015, Carroll, Carroll County, IN, 40.5828, -86.5635, 20535, 372.22]
[45011, Barnwell, Barnwell County, SC, 33.2661, -81.4349, 20521, 548.39]
[49007, Carbon, Carbon County, UT, 39.6481, -110.5887, 20517, 1478.49]
[37079, Greene, Greene County, NC, 35.485, -77.6758, 20486, 265.93]
[56023, Lincoln, Lincoln County, WY, 42.264, -110.656, 20486, 4076.13]
[22007, Assumption, Assumption Parish, LA, 29.9024, -91.0608, 20484, 338.66]
[13321, Worth, Worth County, GA, 31.5515, -83.8509, 20451, 570.7]
[47173, Union, Union County, TN, 36.2879, -83.8375, 20431, 223.55]
[47159, Smith, Smith County, TN, 36.2505, -85.9567, 20389, 314.29]
[18049, Fulton, Fulton County, IN, 41.047, -86.2635, 20312, 368.39]
[48253, Jones, Jones County, TX, 32.7399, -99.8788, 20304, 928.55]
[21017, Bourbon, Bourbon County, KY, 38.2067, -84.2172, 20240, 289.72]
[48457, Tyler, Tyler County, TX, 30.7712, -94.3766, 20238, 924.5]
[18075, Jay, Jay County, IN, 40.4379, -85.0056, 20229, 383.91]
[35027, Lincoln, Lincoln County, NM, 33.7453, -105.4593, 20224, 4831.09]
[22077, Pointe Coupee, Pointe Coupee Parish, LA, 30.7095, -91.6008, 20217, 557.35]
[13229, Pierce, Pierce County, GA, 31.3588, -82.2128, 20202, 316.49]
[21215, Spencer, Spencer County, KY, 38.0325, -85.3278, 20193, 186.68]
[49013, Duchesne, Duchesne County, UT, 40.2982, -110.4252, 20185, 3240.95]
[48233, Hutchinson, Hutchinson County, TX, 35.84, -101.3547, 20184, 887.42]
[8015, Chaffee, Chaffee County, CO, 38.747, -106.1941, 20178, 1013.4]
[40153, Woodward, Woodward County, OK, 36.4227, -99.2651, 20158, 1242.4]
[29015, Benton, Benton County, MO, 38.2949, -93.2879, 20151, 704.06]
[48489, Willacy, Willacy County, TX, 26.4693, -97.6632, 20139, 590.55]
[5149, Yell, Yell County, AR, 35.0026, -93.4108, 20134, 929.98]
[13133, Greene, Greene County, GA, 33.5788, -83.1667, 20109, 387.44]
[48161, Freestone, Freestone County, TX, 31.7049, -96.1491, 20049, 877.74]
[55119, Taylor, Taylor County, WI, 45.2116, -90.5012, 20024, 974.88]
[48123, DeWitt, DeWitt County, TX, 29.0821, -97.3567, 20016, 908.98]
[19087, Henry, Henry County, IA, 40.988, -91.5445, 20004, 434.33]
[21213, Simpson, Simpson County, KY, 36.742, -86.5823, 19972, 234.2]
[18147, Spencer, Spencer County, IN, 38.0141, -87.0077, 19955, 396.74]
[46035, Davison, Davison County, SD, 43.6747, -98.146, 19952, 435.56]
[21051, Clay, Clay County, KY, 37.1597, -83.7146, 19921, 469.25]
[37091, Hertford, Hertford County, NC, 36.3591, -76.982, 19908, 353.06]
[13231, Pike, Pike County, GA, 33.0923, -84.3892, 19903, 216.09]
